config,side,model,ctx,mva,strategy_forced,strategy_active,overlap,n_pinned,cache_ubatch,prompt_tps,decode_tps,vram_peak_delta,token_hash,status
# idle_used=1194
oss-c2048-mva4000-sauto,pshard,oss,2048,4000,auto,STATIC_ATTNPRIO_ALLMODELS,1,7,2048,1112.48,36.45,4299,839c5fc157870020,TOKEN_DIVERGED_PPL_OK
oss-c2048-mva4000-s0,pshard,oss,2048,4000,0,GPUONLY_LAYERPIN_LAYERSTREAM,1,7,2048,1184.29,5.12,4298,0f5a66788990fac8,TOKEN_DIVERGED_PPL_OK
oss-c2048-mva4000-s1,pshard,oss,2048,4000,1,GPUONLY_ATTNPIN_FFNSTREAM,1,6,2048,1155.11,22.22,4307,0f5a66788990fac8,TOKEN_DIVERGED_PPL_OK
oss-c2048-mva4000-s2,pshard,oss,2048,4000,2,DYNAMIC_FFNCPU_ATTNSTREAM,1,9,2048,126.11,21.12,4300,3453590d8deda8ef,PPL_MISMATCH(stock=1795.8187 pshard=3204.2554)
oss-c2048-mva4000-s3,pshard,oss,2048,4000,3,STATIC_ATTNPRIO_ALLMODELS,1,7,2048,1272.06,39.68,4308,839c5fc157870020,TOKEN_DIVERGED_PPL_OK
oss-c2048-mva4000-s4,pshard,oss,2048,4000,4,DYNAMIC_FFN_ALTERNATE,1,5,2048,183.61,31.77,4301,e2ff2554a33afd15,PPL_MISMATCH(stock=1795.8187 pshard=2676.7969)
oss-c2048-mva8000,stock,oss,2048,8000,,,,,2048,322.70,53.83,8487,6b077e12a7c4cf3d,OK
oss-c2048-mva8000-sauto,pshard,oss,2048,8000,auto,STATIC_ATTNPRIO_ALLMODELS,1,17,2048,1673.18,72.64,8305,8fd7c0f1b02bf5c2,TOKEN_DIVERGED_PPL_OK
oss-c2048-mva8000-s0,pshard,oss,2048,8000,0,GPUONLY_LAYERPIN_LAYERSTREAM,1,16,2048,1658.58,9.90,8305,0f5a66788990fac8,TOKEN_DIVERGED_PPL_OK
oss-c2048-mva8000-s1,pshard,oss,2048,8000,1,GPUONLY_ATTNPIN_FFNSTREAM,1,16,2048,1740.79,34.55,8305,0f5a66788990fac8,TOKEN_DIVERGED_PPL_OK
oss-c2048-mva8000-s2,pshard,oss,2048,8000,2,DYNAMIC_FFNCPU_ATTNSTREAM,1,18,2048,281.99,33.80,8305,6b077e12a7c4cf3d,OK
oss-c2048-mva8000-s3,pshard,oss,2048,8000,3,STATIC_ATTNPRIO_ALLMODELS,1,17,2048,1798.46,75.82,8305,8fd7c0f1b02bf5c2,TOKEN_DIVERGED_PPL_OK
oss-c2048-mva8000-s4,pshard,oss,2048,8000,4,DYNAMIC_FFN_ALTERNATE,1,15,2048,378.04,55.61,8305,67431bdbdafe7abd,PPL_MISMATCH(stock=1795.8187 pshard=2568.2388)
oss-c2048-mva12000,stock,oss,2048,12000,,,,,2048,1827.32,142.89,10605,0f5a66788990fac8,OK
oss-c2048-mva12000-sauto,pshard,oss,2048,12000,auto,STATIC_ATTNPRIO_ALLMODELS,1,24,2048,2663.04,175.19,12229,0f5a66788990fac8,OK
oss-c2048-mva12000-s0,pshard,oss,2048,12000,0,GPUONLY_LAYERPIN_LAYERSTREAM,1,23,2048,2412.36,36.16,12305,0f5a66788990fac8,OK
oss-c2048-mva12000-s1,pshard,oss,2048,12000,1,GPUONLY_ATTNPIN_FFNSTREAM,1,23,2048,2406.73,54.40,12305,0f5a66788990fac8,OK
oss-c2048-mva12000-s2,pshard,oss,2048,12000,2,DYNAMIC_FFNCPU_ATTNSTREAM,1,23,2048,1052.99,51.28,12305,0f5a66788990fac8,OK
oss-c2048-mva12000-s3,pshard,oss,2048,12000,3,STATIC_ATTNPRIO_ALLMODELS,1,24,2048,2668.55,190.06,12229,0f5a66788990fac8,OK
oss-c2048-mva12000-s4,pshard,oss,2048,12000,4,DYNAMIC_FFN_ALTERNATE,1,24,2048,2703.68,188.12,12229,0f5a66788990fac8,OK
oss-c16384-mva2000,stock,oss,16384,2000,,,,,16384,2790.85,8.29,13919,725aaef7a1dd3307,OK
