config,side,model,ctx,mva,strategy_forced,strategy_active,overlap,n_pinned,cache_ubatch,prompt_tps,decode_tps,vram_peak_delta,token_hash,status
# idle_used=1194
q8d-c2048-mva4000-s1,pshard,q8d,2048,4000,1,STATIC_ATTNPRIO_ALLMODELS,1,0,2048,10.12,1.78,4005,6cd4dc9a501b7079,TOKEN_DIVERGED_PPL_OK
q8d-c2048-mva4000-s2,pshard,q8d,2048,4000,2,DYNAMIC_FFNCPU_ATTNSTREAM,1,9,2048,19.79,1.82,4007,667087865771697b,OK
q8d-c2048-mva4000-s3,pshard,q8d,2048,4000,3,STATIC_ATTNPRIO_ALLMODELS,1,2,2048,407.87,1.80,4003,667087865771697b,OK
q8d-c2048-mva4000-s4,pshard,q8d,2048,4000,4,DYNAMIC_FFN_ALTERNATE,1,0,2048,34.78,1.84,4005,667087865771697b,OK
q8d-c2048-mva8000,stock,q8d,2048,8000,,,,,2048,192.22,1.98,7993,667087865771697b,OK
q8d-c2048-mva8000-sauto,pshard,q8d,2048,8000,auto,GPUONLY_LAYERPIN_LAYERSTREAM,1,18,2048,660.28,2.13,8003,667087865771697b,OK
q8d-c2048-mva8000-s0,pshard,q8d,2048,8000,0,GPUONLY_LAYERPIN_LAYERSTREAM,1,18,2048,648.19,2.13,8003,667087865771697b,OK
q8d-c2048-mva8000-s1,pshard,q8d,2048,8000,1,GPUONLY_ATTNPIN_FFNSTREAM,0,0,2048,522.26,2.09,8013,667087865771697b,OK
# idle_used=1492
q8d-c2048-mva8000-s2,pshard,q8d,2048,8000,2,DYNAMIC_FFNCPU_ATTNSTREAM,1,19,2048,23.50,2.15,8382,6cd4dc9a501b7079,TOKEN_DIVERGED_PPL_OK
q8d-c2048-mva8000-s3,pshard,q8d,2048,8000,3,STATIC_ATTNPRIO_ALLMODELS,1,2,2048,520.53,2.25,8325,667087865771697b,OK
q8d-c2048-mva8000-s4,pshard,q8d,2048,8000,4,DYNAMIC_FFN_ALTERNATE,1,0,2048,34.46,2.29,8350,667087865771697b,OK
q8d-c2048-mva12000,stock,q8d,2048,12000,,,,,2048,213.74,2.46,12497,667087865771697b,OK
q8d-c2048-mva12000-sauto,pshard,q8d,2048,12000,auto,GPUONLY_LAYERPIN_LAYERSTREAM,1,28,2048,658.58,2.76,12227,667087865771697b,OK
q8d-c2048-mva12000-s0,pshard,q8d,2048,12000,0,GPUONLY_LAYERPIN_LAYERSTREAM,1,28,2048,784.59,2.79,12231,667087865771697b,OK
q8d-c2048-mva12000-s1,pshard,q8d,2048,12000,1,GPUONLY_ATTNPIN_FFNSTREAM,1,14,2048,893.54,2.96,12319,667087865771697b,OK
q8d-c2048-mva12000-s2,pshard,q8d,2048,12000,2,DYNAMIC_FFNCPU_ATTNSTREAM,1,30,2048,29.98,2.78,12300,667087865771697b,OK
q8d-c2048-mva12000-s3,pshard,q8d,2048,12000,3,STATIC_ATTNPRIO_ALLMODELS,1,16,2048,637.33,2.72,12262,667087865771697b,OK
q8d-c2048-mva12000-s4,pshard,q8d,2048,12000,4,DYNAMIC_FFN_ALTERNATE,1,14,2048,43.19,2.84,12201,667087865771697b,OK
q8d-c16384-mva2000,stock,q8d,16384,2000,,,,,16384,,,233,d41d8cd98f00b204,FAIL
q8d-c16384-mva2000-sauto,pshard,q8d,16384,2000,auto,GPUONLY_LAYERPIN_LAYERSTREAM,1,2,16384,19.71,1.65,2845,1c5a2f9e5163a8f1,PPL_MISMATCH(stock= pshard=1.1121)
q8d-c16384-mva2000-s0,pshard,q8d,16384,2000,0,GPUONLY_LAYERPIN_LAYERSTREAM,1,2,16384,1661.20,1.70,2468,1c5a2f9e5163a8f1,PPL_MISMATCH(stock= pshard=1.1090)
q8d-c16384-mva2000-s1,pshard,q8d,16384,2000,1,,1,,16384,,,2448,d41d8cd98f00b204,FAIL
q8d-c16384-mva2000-s2,pshard,q8d,16384,2000,2,DYNAMIC_FFNCPU_ATTNSTREAM,1,4,16384,17.86,1.68,2527,04104d0fa84718fd,PPL_MISMATCH(stock= pshard=1.1082)
q8d-c16384-mva2000-s3,pshard,q8d,16384,2000,3,STATIC_ATTNPRIO_ALLMODELS,1,4,16384,1276.43,1.37,2557,04104d0fa84718fd,PPL_MISMATCH(stock= pshard=1.1123)
q8d-c16384-mva2000-s4,pshard,q8d,16384,2000,4,DYNAMIC_FFN_ALTERNATE,1,0,16384,39.23,1.72,2579,04104d0fa84718fd,PPL_MISMATCH(stock= pshard=1.1144)
q8d-c16384-mva4000,stock,q8d,16384,4000,,,,,16384,,,2744,d41d8cd98f00b204,FAIL
q8d-c16384-mva4000-sauto,pshard,q8d,16384,4000,auto,GPUONLY_LAYERPIN_LAYERSTREAM,1,7,16384,20.35,1.79,4442,1c5a2f9e5163a8f1,PPL_MISMATCH(stock= pshard=1.1055)
q8d-c16384-mva4000-s0,pshard,q8d,16384,4000,0,GPUONLY_LAYERPIN_LAYERSTREAM,1,7,16384,1717.36,1.81,4492,1c5a2f9e5163a8f1,PPL_MISMATCH(stock= pshard=1.1123)
q8d-c16384-mva4000-s1,pshard,q8d,16384,4000,1,STATIC_ATTNPRIO_ALLMODELS,1,0,16384,860.10,1.66,4810,1c5a2f9e5163a8f1,PPL_MISMATCH(stock= pshard=1.1105)
q8d-c16384-mva4000-s2,pshard,q8d,16384,4000,2,DYNAMIC_FFNCPU_ATTNSTREAM,1,9,16384,17.68,1.80,4424,1c5a2f9e5163a8f1,PPL_MISMATCH(stock= pshard=1.1121)
q8d-c16384-mva4000-s3,pshard,q8d,16384,4000,3,STATIC_ATTNPRIO_ALLMODELS,1,8,16384,1386.14,1.60,4421,1c5a2f9e5163a8f1,PPL_MISMATCH(stock= pshard=1.1089)
q8d-c16384-mva4000-s4,pshard,q8d,16384,4000,4,DYNAMIC_FFN_ALTERNATE,1,0,16384,40.11,1.85,4289,1c5a2f9e5163a8f1,PPL_MISMATCH(stock= pshard=1.1144)
q8d-c16384-mva8000,stock,q8d,16384,8000,,,,,16384,,,342,d41d8cd98f00b204,FAIL
q8d-c16384-mva8000-sauto,pshard,q8d,16384,8000,auto,GPUONLY_LAYERPIN_LAYERSTREAM,1,17,16384,1723.42,2.14,8354,1c5a2f9e5163a8f1,PPL_MISMATCH(stock= pshard=1.1123)
q8d-c16384-mva8000-s0,pshard,q8d,16384,8000,0,GPUONLY_LAYERPIN_LAYERSTREAM,1,17,16384,1718.70,2.14,8339,1c5a2f9e5163a8f1,PPL_MISMATCH(stock= pshard=1.1123)
